loteria,fecha,numero,serie
valle,2020-09-02 00:00:00,0419,170
bogota,2022-07-28 00:00:00,1392,287
bogota,2022-07-21 00:00:00,0872,005
bogota,2022-07-14 00:00:00,7742,137
bogota,2022-07-07 00:00:00,8449,303
bogota,2022-06-30 00:00:00,0086,067
bogota,2022-06-23 00:00:00,3159,086
bogota,2022-06-16 00:00:00,7470,301
bogota,2022-06-09 00:00:00,4027,172
bogota,2022-06-02 00:00:00,5503,375
bogota,2022-05-26 00:00:00,4486,296
bogota,2022-05-19 00:00:00,6187,073
bogota,2022-05-12 00:00:00,0049,046
bogota,2022-05-05 00:00:00,0038,103
bogota,2022-04-28 00:00:00,4634,074
bogota,2022-04-21 00:00:00,9537,068
bogota,2022-04-07 00:00:00,3027,174
bogota,2022-03-31 00:00:00,2573,029
bogota,2022-03-24 00:00:00,3050,281
bogota,2022-03-17 00:00:00,7403,083
bogota,2022-03-10 00:00:00,9788,188
bogota,2022-03-03 00:00:00,9531,125
bogota,2022-02-24 00:00:00,3514,109
bogota,2022-02-17 00:00:00,9491,333
bogota,2022-02-10 00:00:00,3314,041
bogota,2022-02-03 00:00:00,0610,091
bogota,2022-01-27 00:00:00,3912,317
bogota,2022-01-20 00:00:00,5805,306
bogota,2022-01-13 00:00:00,9163,067
bogota,2022-01-06 00:00:00,0829,308
bogota,2021-12-30 00:00:00,5183,133
bogota,2021-12-23 00:00:00,2282,021
bogota,2021-12-16 00:00:00,3342,349
bogota,2021-12-09 00:00:00,8338,036
bogota,2021-12-02 00:00:00,1440,392
bogota,2021-11-25 00:00:00,8560,134
bogota,2021-11-18 00:00:00,3629,256
bogota,2021-11-11 00:00:00,3387,033
bogota,2021-11-04 00:00:00,4259,041
bogota,2021-10-28 00:00:00,8418,256
bogota,2021-10-21 00:00:00,7528,141
bogota,2021-10-14 00:00:00,4850,230
bogota,2021-10-07 00:00:00,3486,373
bogota,2021-09-30 00:00:00,0940,198
bogota,2021-09-23 00:00:00,3549,292
bogota,2021-09-16 00:00:00,9064,107
bogota,2021-09-09 00:00:00,1919,195
bogota,2021-09-02 00:00:00,8166,031
bogota,2021-08-26 00:00:00,3796,359
bogota,2021-08-19 00:00:00,9864,065
bogota,2021-08-12 00:00:00,7447,104
bogota,2021-08-05 00:00:00,2818,161
bogota,2021-07-29 00:00:00,7764,125
bogota,2021-07-22 00:00:00,9264,092
bogota,2021-07-15 00:00:00,5009,089
bogota,2021-07-08 00:00:00,6671,287
bogota,2021-07-01 00:00:00,9169,165
bogota,2021-06-24 00:00:00,7190,215
bogota,2021-06-17 00:00:00,5210,041
bogota,2021-06-10 00:00:00,6935,359
bogota,2021-06-03 00:00:00,9357,186
bogota,2021-05-27 00:00:00,9115,325
bogota,2021-05-20 00:00:00,0064,087
bogota,2021-05-13 00:00:00,4737,390
bogota,2021-05-06 00:00:00,0941,122
bogota,2021-04-29 00:00:00,3596,280
bogota,2021-04-22 00:00:00,3866,229
bogota,2021-04-15 00:00:00,2347,214
bogota,2021-04-08 00:00:00,0803,204
bogota,2021-03-25 00:00:00,2400,153
bogota,2021-03-18 00:00:00,3081,152
bogota,2021-03-11 00:00:00,8732,119
bogota,2021-03-04 00:00:00,3785,303
bogota,2021-02-25 00:00:00,8477,292
bogota,2021-02-18 00:00:00,5551,220
bogota,2021-02-11 00:00:00,9458,196
bogota,2021-02-04 00:00:00,8238,071
bogota,2021-01-28 00:00:00,3818,116
bogota,2021-01-21 00:00:00,9318,048
bogota,2021-01-14 00:00:00,1032,128
bogota,2021-01-07 00:00:00,2524,318
bogota,2020-12-31 00:00:00,3552,323
bogota,2020-12-24 00:00:00,4156,232
bogota,2020-12-17 00:00:00,9074,108
bogota,2020-12-10 00:00:00,2420,214
bogota,2020-12-03 00:00:00,4760,276
bogota,2020-11-26 00:00:00,1588,022
bogota,2020-11-19 00:00:00,7050,319
bogota,2020-11-12 00:00:00,1116,263
bogota,2020-11-05 00:00:00,8289,278
bogota,2020-10-29 00:00:00,2727,387
bogota,2020-10-22 00:00:00,1792,337
bogota,2020-10-15 00:00:00,4579,261
bogota,2020-10-08 00:00:00,1289,389
bogota,2020-10-01 00:00:00,9730,178
bogota,2020-09-24 00:00:00,4330,040
bogota,2020-09-17 00:00:00,0142,294
bogota,2020-09-10 00:00:00,4140,363
bogota,2020-09-03 00:00:00,4508,118
bogota,2020-08-27 00:00:00,4106,235
bogota,2020-08-20 00:00:00,4503,196
medellin,2022-07-29 00:00:00,0667,101
medellin,2022-07-22 00:00:00,8942,259
medellin,2022-07-15 00:00:00,4044,036
