loteria,fecha,numero,serie
boyaca,2016-11-19,5123,227
boyaca,2016-11-26,1214,008
boyaca,2016-12-03,9202,165
boyaca,2016-12-10,3342,181
boyaca,2016-12-17,0216,235
boyaca,2016-12-24,1879,159
boyaca,2016-12-31,2645,229
boyaca,2017-01-07,8442,007
boyaca,2017-01-14,3359,223
boyaca,2017-01-21,8787,007
boyaca,2017-01-28,0060,137
boyaca,2017-02-04,5693,231
boyaca,2017-02-11,1880,149
boyaca,2017-02-18,9839,193
boyaca,2017-02-25,6007,218
boyaca,2017-03-04,5953,160
boyaca,2017-03-11,6377,201
boyaca,2017-03-18,5024,101
boyaca,2017-03-25,6036,167
boyaca,2017-04-01,8805,287
boyaca,2017-04-08,3167,139
boyaca,2017-04-15,0005,171
boyaca,2017-04-22,0036,293
boyaca,2017-04-29,4685,060
boyaca,2017-05-06,1876,119
boyaca,2017-05-13,4341,030
boyaca,2017-05-20,0708,266
boyaca,2017-05-27,0884,277
boyaca,2017-06-03,8230,025
boyaca,2017-06-10,6224,293
boyaca,2017-06-17,5448,072
boyaca,2017-06-24,9279,144
boyaca,2017-07-01,5169,121
boyaca,2017-07-08,8518,106
boyaca,2017-07-15,1188,334
boyaca,2017-07-22,6535,266
boyaca,2017-07-29,1173,048
boyaca,2017-08-05,5893,085
boyaca,2017-08-12,6358,198
boyaca,2017-08-19,9523,384
boyaca,2017-08-26,8654,177
boyaca,2017-09-02,4256,194
boyaca,2017-09-09,7993,274
boyaca,2017-09-16,8754,221
boyaca,2017-09-23,8675,181
boyaca,2017-09-30,5190,119
boyaca,2017-10-07,9424,383
boyaca,2017-10-14,6537,145
boyaca,2017-10-21,3987,193
boyaca,2017-10-28,2641,039
boyaca,2017-11-04,5097,099
boyaca,2017-11-11,1366,006
boyaca,2017-11-18,0789,340
boyaca,2017-11-25,6010,242
boyaca,2017-12-02,4225,076
boyaca,2017-12-09,6225,007
boyaca,2017-12-16,9471,208
boyaca,2017-12-23,8005,119
boyaca,2017-12-30,7639,106
boyaca,2018-01-06,2913,224
boyaca,2018-01-13,7668,135
boyaca,2018-01-20,2499,051
boyaca,2018-01-27,4089,050
boyaca,2018-02-03,3496,333
boyaca,2018-02-10,2614,205
boyaca,2018-02-17,8142,013
boyaca,2018-02-24,3262,117
boyaca,2018-03-03,5686,387
boyaca,2018-03-10,6427,372
boyaca,2018-03-17,3833,321
boyaca,2018-03-24,5236,385
boyaca,2018-03-31,0384,237
boyaca,2018-04-07,9232,088
boyaca,2018-04-14,4719,031
boyaca,2018-04-21,7536,120
boyaca,2018-04-28,5988,250
boyaca,2018-05-05,3163,181
boyaca,2018-05-12,7046,221
boyaca,2018-05-19,6658,370
boyaca,2018-05-26,9090,026
boyaca,2018-06-02,8662,156
boyaca,2018-06-09,9398,139
boyaca,2018-06-16,9682,079
boyaca,2018-06-23,4960,169
