loteria,fecha,numero,serie
medellin,10/01/2020,6377,141
medellin,17/01/2020,3311,191
medellin,24/01/2020,9171,253
medellin,31/01/2020,8876,9
medellin,7/02/2020,2582,42
medellin,14/02/2020,9019,334
medellin,21/02/2020,1972,277
medellin,28/02/2020,6798,266
medellin,6/03/2020,7636,221
medellin,13/03/2020,4702,318
medellin,20/03/2020,9358,47
medellin,15/05/2020,211,8
medellin,22/05/2020,9383,174
medellin,29/05/2020,5044,119
medellin,5/06/2020,1560,30
medellin,12/06/2020,2312,126
medellin,19/06/2020,6537,54
medellin,26/06/2020,8039,166
medellin,3/07/2020,7767,124
medellin,10/07/2020,7424,164
medellin,17/07/2020,9879,69
medellin,24/07/2020,3363,299
medellin,31/07/2020,4901,238
medellin,8/08/2020,8984,66
medellin,14/08/2020,6143,20
medellin,21/08/2020,828,174
medellin,28/08/2020,2613,12
medellin,4/09/2020,8508,211
medellin,11/09/2020,9315,134
medellin,18/09/2020,7498,32
medellin,25/09/2020,9055,46
medellin,2/10/2020,9606,169
medellin,9/10/2020,4439,35
medellin,16/10/2020,3045,120
medellin,23/10/2020,7309,3
medellin,30/10/2020,2836,328
medellin,6/11/2020,4387,184
medellin,13/11/2020,3283,146
medellin,20/11/2020,1495,53
medellin,27/11/2020,6132,236
medellin,4/12/2020,6399,245
medellin,11/12/2020,549,312
medellin,18/12/2020,2429,269
medellin,24/12/2020,1670,299
medellin,2/01/2021,5455,132
medellin,8/01/2021,6589,227
medellin,15/01/2021,7022,226
medellin,22/01/2021,6059,204
medellin,29/01/2021,374,40
medellin,5/02/2021,539,320
medellin,12/02/2021,7403,231
medellin,19/02/2021,4468,8
medellin,26/02/2021,6401,72
medellin,5/03/2021,7109,118
medellin,12/03/2021,7675,58
medellin,19/03/2021,3079,223
medellin,26/03/2021,7707,166
medellin,3/04/2021,5614,155
medellin,9/04/2021,3257,153
medellin,16/04/2021,3169,123
medellin,23/04/2021,8781,53
medellin,30/04/2021,1230,114
medellin,7/05/2021,4807,273
medellin,14/05/2021,9549,255
medellin,21/05/2021,3191,30
medellin,28/05/2021,5741,264
medellin,4/06/2021,2570,303
medellin,11/06/2021,8743,296
medellin,18/06/2021,6418,225
medellin,25/06/2021,2520,21
medellin,2/07/2021,1014,351
medellin,9/07/2021,3356,337
medellin,16/07/2021,1319,149
medellin,23/07/2021,7403,354
medellin,30/07/2021,7516,113
medellin,6/08/2021,5126,196
medellin,13/08/2021,2517,120
medellin,20/08/2021,861,183
medellin,27/08/2021,2762,237
medellin,3/09/2021,8755,169
medellin,10/09/2021,1447,168
medellin,17/09/2021,9336,295
medellin,24/09/2021,3653,301
medellin,1/10/2021,3535,217
medellin,8/10/2021,465,226
medellin,15/10/2021,3302,197
medellin,22/10/2021,8228,275
medellin,29/10/2021,4579,315
medellin,5/11/2021,8168,208
medellin,12/11/2021,7611,46
medellin,19/11/2021,7808,90
medellin,26/11/2021,4611,325
medellin,3/12/2021,9978,76
medellin,10/12/2021,8621,290
medellin,17/12/2021,7850,142
medellin,24/12/2021,9832,71
medellin,31/12/2021,4362,349
medellin,7/01/2022,3206,36
medellin,14/01/2022,9747,48
medellin,21/01/2022,7845,280
medellin,28/01/2022,2624,207
medellin,4/02/2022,1341,338
medellin,11/02/2022,5742,78
medellin,18/02/2022,6085,170
medellin,25/02/2022,3306,292
medellin,4/03/2022,1082,122
medellin,11/03/2022,3708,121
medellin,18/03/2022,1677,147
medellin,25/03/2022,3112,223
medellin,1/04/2022,3181,231
medellin,8/04/2022,3729,151
medellin,16/04/2022,1096,175
medellin,22/04/2022,2898,196
medellin,29/04/2022,4915,192
medellin,6/05/2022,1306,367
medellin,13/05/2022,626,86
medellin,20/05/2022,1427,329
medellin,27/05/2022,3373,17
medellin,3/06/2022,5937,315
medellin,10/06/2022,6451,71
medellin,17/06/2022,4007,189
medellin,24/06/2022,5631,247
medellin,1/07/2022,6320,346
medellin,8/07/2022,7671,344
medellin,15/07/2022,4044,36
medellin,22/07/2022,8942,259
medellin,29/07/2022,667,101
medellin,5/08/2022,3562,148
medellin,12/08/2022,858,232
medellin,19/08/2022,1194,216
medellin,26/08/2022,7167,297
medellin,2/09/2022,627,68
medellin,9/09/2022,4116,252
medellin,16/09/2022,6083,47
medellin,9/02/2024 0:00,2079,129
medellin,2/02/2024 0:00,9533,81
medellin,26/01/2024 0:00,9490,422
medellin,19/01/2024 0:00,6543,74
medellin,12/01/2024 0:00,4180,319
medellin,5/01/2024 0:00,2864,160
medellin,29/12/2023 0:00,9867,425
medellin,22/12/2023 0:00,8645,483
medellin,15/12/2023 0:00,7630,5
medellin,7/12/2023 0:00,1597,120
medellin,1/12/2023 0:00,2518,11
medellin,24/11/2023 0:00,5938,227
medellin,17/11/2023 0:00,9234,464
medellin,10/11/2023 0:00,247,210
medellin,3/11/2023 0:00,2410,271
medellin,27/10/2023 0:00,1090,111
medellin,20/10/2023 0:00,204,74
medellin,13/10/2023 0:00,6313,235
medellin,6/10/2023 0:00,8058,311
medellin,29/09/2023 0:00,1767,134
medellin,22/09/2023 0:00,1666,496
medellin,15/09/2023 0:00,1480,67
medellin,8/09/2023 0:00,1876,280
medellin,1/09/2023 0:00,8716,346
medellin,25/08/2023 0:00,2780,453
medellin,18/08/2023 0:00,3267,342
medellin,11/08/2023 0:00,5328,363
medellin,4/08/2023 0:00,3728,276
medellin,28/07/2023 0:00,2013,180
medellin,21/07/2023 0:00,6539,336
medellin,14/07/2023 0:00,3803,65
medellin,7/07/2023 0:00,7318,340
medellin,30/06/2023 0:00,1279,158
medellin,23/06/2023 0:00,5987,104
medellin,16/06/2023 0:00,9557,332
medellin,9/06/2023 0:00,1258,294
medellin,2/06/2023 0:00,7768,39
medellin,26/05/2023 0:00,8060,158
medellin,19/05/2023 0:00,1952,241
medellin,12/05/2023 0:00,2701,202
medellin,5/05/2023 0:00,4798,127
medellin,28/04/2023 0:00,8945,168
medellin,21/04/2023 0:00,4512,218
medellin,14/04/2023 0:00,4773,27
medellin,8/04/2023 0:00,5724,111
medellin,31/03/2023 0:00,8984,311
medellin,24/03/2023 0:00,2228,282
medellin,17/03/2023 0:00,7899,34
medellin,10/03/2023 0:00,9162,182
medellin,3/03/2023 0:00,4732,328
medellin,24/02/2023 0:00,1055,87
medellin,17/02/2023 0:00,3559,42
medellin,10/02/2023 0:00,8424,32
medellin,3/02/2023 0:00,2469,49
medellin,27/01/2023 0:00,3935,214
medellin,20/01/2023 0:00,8945,145
medellin,13/01/2023 0:00,7698,123
medellin,6/01/2023 0:00,1311,339
medellin,30/12/2022 0:00,7134,63
medellin,23/12/2022 0:00,5174,2
medellin,16/12/2022 0:00,8603,72
medellin,9/12/2022 0:00,3975,75
medellin,2/12/2022 0:00,7001,199
medellin,25/11/2022 0:00,9718,354
medellin,18/11/2022 0:00,3950,94
medellin,11/11/2022 0:00,8271,55
medellin,4/11/2022 0:00,4550,4
medellin,28/10/2022 0:00,8388,105
medellin,21/10/2022 0:00,5030,104
medellin,14/10/2022 0:00,2604,271
medellin,7/10/2022 0:00,4974,164
medellin,30/09/2022 0:00,1064,214
medellin,23/09/2022 0:00,1737,115
medellin,16/09/2022 0:00,6083,47
medellin,9/09/2022 0:00,4116,252
medellin,2/09/2022 0:00,627,68
medellin,26/08/2022 0:00,7167,297
medellin,19/08/2022 0:00,1194,216
medellin,12/08/2022 0:00,858,232
medellin,5/08/2022 0:00,3562,148
medellin,29/07/2022 0:00,667,101
medellin,22/07/2022 0:00,8942,259
medellin,15/07/2022 0:00,4044,36
medellin,8/07/2022 0:00,7671,344
medellin,1/07/2022 0:00,6320,346
medellin,24/06/2022 0:00,5631,247
medellin,17/06/2022 0:00,4007,189
medellin,10/06/2022 0:00,6451,71
medellin,3/06/2022 0:00,5937,315
medellin,27/05/2022 0:00,3373,17
medellin,20/05/2022 0:00,1427,329
medellin,13/05/2022 0:00,626,86
medellin,6/05/2022 0:00,1306,367
medellin,29/04/2022 0:00,4915,192
medellin,22/04/2022 0:00,2898,196
medellin,16/04/2022 0:00,1096,175
medellin,8/04/2022 0:00,3729,151
medellin,1/04/2022 0:00,3181,231
medellin,25/03/2022 0:00,3112,223
medellin,18/03/2022 0:00,1677,147
